satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
0.44103031696868783,0.4428731832888162,7,147.15521942702907,1,0,0,0,IT,medium
0.48709803505406707,0.543642981085135,4,179.93652899437495,7,0,0,0,hr,low
0.18327640205863507,0.3478541116288562,4,212.4675450773926,1,0,0,0,management,high
0.20425864542205732,0.410715858064702,2,158.71744305105176,6,0,0,0,marketing,medium
0.2688412394007148,0.7305713046421454,4,229.1168874504411,7,1,0,0,technical,low
0.4886438789495319,0.8573312435945488,7,178.08652684426718,9,0,0,0,product_mng,high
0.1307173815342962,0.3986861214917553,6,260.54125908591203,7,1,1,0,sales,medium
0.29786622136220947,0.5445700890861679,2,186.56814123307547,10,1,0,0,technical,medium
0.07248996573454208,0.3775659549013535,4,237.61843772890342,6,1,1,0,management,low
0.05739183229994791,0.7462255304348913,4,200.3802304201191,9,0,1,0,accounting,low
0.08225760621439786,0.16197555654892062,7,155.40362322989668,4,0,0,0,hr,low
0.3040627767331159,0.7760567060594863,7,206.641933176459,10,0,1,0,RandD,high
0.14359367771771453,0.47534850684222435,5,158.80498925365532,9,0,0,0,RandD,medium
0.12343263445587441,0.18100975338939926,4,154.07645320501803,4,0,1,0,IT,medium
0.1484726534134777,0.7948338362945842,7,223.6535904111232,8,0,1,0,technical,low
0.32779021227034894,0.2553330327209793,5,210.9343643360261,6,0,0,1,management,low
0.4471912763015601,0.6829988342999815,5,179.6914936493972,8,0,0,0,hr,medium
0.32797191418917354,0.6615975403436871,7,195.68650655182824,7,0,0,0,technical,low
0.13383112617256587,0.8650700448890227,4,190.04761018620167,2,0,0,0,technical,medium
0.055175088663772374,0.20667162004512163,2,180.92757737107732,2,0,0,0,marketing,medium
0.013363308636110186,0.17472950562530085,6,181.96112600477485,9,1,0,0,accounting,medium
0.3741627106847443,0.7626128284078767,4,195.07644263211196,1,0,1,0,technical,low
0.12377825326500219,0.5480785864023741,3,191.30927168309313,2,0,1,0,product_mng,high
0.4422707547508604,0.2956035736121974,4,191.18042583553307,2,1,1,0,marketing,high
0.6059963522901655,0.5417096791766762,6,206.2488023245795,5,0,0,0,sales,medium
0.530390526833083,0.7024511998903763,2,235.14361360974186,2,0,0,0,IT,low
0.19443922476016445,0.02169454743273244,3,239.56534806598663,6,1,1,0,accounting,low
0.4713386724805442,0.9006202397608601,4,221.86341154383382,7,0,0,0,hr,low
0.21172509808565126,0.860371735999494,7,216.58314526021059,4,0,0,1,sales,low
0.09422592026980776,0.3011672836896747,4,185.44633338404728,6,0,0,0,support,medium
